,model_name,index,DN,GOF,HI,LOF,none,macro avg,accuracy,hamming_loss
0,TF-IDF + Basic Clean + GS LR ovr - Test,f1-score,0.6268656716417911,0.6666666666666667,0.5098039215686274,0.5142857142857143,0.7450980392156864,0.6125440026756972,0.6068965517241379,0.3931034482758621
1,TF-IDF + Basic Clean + GS LR ovr - Train,f1-score,0.8648648648648647,0.9517241379310345,0.8787878787878789,0.9051094890510948,1.0,0.9200972741269744,0.9166666666666666,0.08333333333333333
2,TF-IDF + Basic Clean + Remove ids + GS LR ovr - Test,f1-score,0.5352112676056338,0.6086956521739131,0.8571428571428571,0.53125,0.6956521739130435,0.6455903901670894,0.6413793103448275,0.3586206896551724
3,TF-IDF + Basic Clean + Remove ids + GS LR ovr - Train,f1-score,0.9496402877697842,0.9726027397260273,1.0,0.9777777777777777,1.0,0.9800041610547179,0.9792284866468842,0.020771513353115726
4,TF-IDF bigram + Basic Clean + Remove ids + GS LR ovr - Test,f1-score,0.4657534246575343,0.4897959183673469,0.7796610169491525,0.5757575757575758,0.6511627906976745,0.5924261452858568,0.5862068965517241,0.41379310344827586
5,TF-IDF bigram + Basic Clean + Remove ids + GS LR ovr - Train,f1-score,0.9361702127659575,0.9583333333333334,0.9925925925925926,0.9701492537313433,1.0,0.9714490784846455,0.9703264094955489,0.02967359050445104
6,TF-IDF bigram + Basic Clean + stopw + Remove ids + GS LR ovr - Test,f1-score,0.4857142857142857,0.5599999999999999,0.8196721311475409,0.5757575757575758,0.6511627906976745,0.6184613566634154,0.6137931034482759,0.38620689655172413
7,TF-IDF bigram + Basic Clean + stopw + Remove ids + GS LR ovr - Train,f1-score,0.9565217391304348,0.9726027397260273,1.0,0.9852941176470589,1.0,0.9828837193007042,0.9821958456973294,0.017804154302670624
8,TF-IDF bigram + Basic Clean + stopw_curated + Remove ids + GS LR ovr - Test,f1-score,0.5070422535211268,0.5833333333333334,0.7457627118644067,0.5428571428571428,0.6666666666666666,0.6091324216485352,0.6,0.4
9,TF-IDF bigram + Basic Clean + stopw_curated + Remove ids + GS LR ovr - Train,f1-score,0.9565217391304348,0.9726027397260273,1.0,0.9852941176470589,1.0,0.9828837193007042,0.9821958456973294,0.017804154302670624
10,TF-IDF bigram + Basic Clean + stopw_curated + with ids + GS LR ovr - Test,f1-score,0.6470588235294118,0.6153846153846153,0.5185185185185185,0.5797101449275363,0.6808510638297872,0.6083046332379738,0.6068965517241379,0.3931034482758621
11,TF-IDF bigram + Basic Clean + stopw_curated + with ids + GS LR ovr - Train,f1-score,0.921985815602837,0.9659863945578232,0.9640287769784173,0.962962962962963,1.0,0.962992790020408,0.9613095238095238,0.03869047619047619
12,TF-IDF + Basic Clean + GS LR ovr - Test,precision,0.6176470588235294,0.5862068965517241,0.5416666666666666,0.5,0.8636363636363636,0.6218313971356568,0.6068965517241379,0.3931034482758621
13,TF-IDF + Basic Clean + GS LR ovr - Train,precision,0.7901234567901234,1.0,0.9666666666666667,0.8732394366197183,1.0,0.9260059120153017,0.9166666666666666,0.08333333333333333
14,TF-IDF + Basic Clean + Remove ids + GS LR ovr - Test,precision,0.48717948717948717,0.6363636363636364,0.8709677419354839,0.5483870967741935,0.7272727272727273,0.6540341379051057,0.6413793103448275,0.3586206896551724
15,TF-IDF + Basic Clean + Remove ids + GS LR ovr - Train,precision,0.9295774647887324,1.0,1.0,0.9705882352941176,1.0,0.9800331400165699,0.9792284866468842,0.020771513353115726
16,TF-IDF bigram + Basic Clean + Remove ids + GS LR ovr - Test,precision,0.4146341463414634,0.48,0.8518518518518519,0.5757575757575758,0.7368421052631579,0.6118171358428098,0.5862068965517241,0.41379310344827586
17,TF-IDF bigram + Basic Clean + Remove ids + GS LR ovr - Train,precision,0.9041095890410958,1.0,0.9852941176470589,0.9701492537313433,1.0,0.9719105920838995,0.9703264094955489,0.02967359050445104
18,TF-IDF bigram + Basic Clean + stopw + Remove ids + GS LR ovr - Test,precision,0.4473684210526316,0.5384615384615384,0.8620689655172413,0.5757575757575758,0.7368421052631579,0.632099721210429,0.6137931034482759,0.38620689655172413
19,TF-IDF bigram + Basic Clean + stopw + Remove ids + GS LR ovr - Train,precision,0.9428571428571428,1.0,1.0,0.9710144927536232,1.0,0.9827743271221532,0.9821958456973294,0.017804154302670624
20,TF-IDF bigram + Basic Clean + stopw_curated + Remove ids + GS LR ovr - Test,precision,0.46153846153846156,0.5833333333333334,0.8148148148148148,0.5135135135135135,0.7777777777777778,0.6301955801955802,0.6,0.4
21,TF-IDF bigram + Basic Clean + stopw_curated + Remove ids + GS LR ovr - Train,precision,0.9428571428571428,1.0,1.0,0.9710144927536232,1.0,0.9827743271221532,0.9821958456973294,0.017804154302670624
22,TF-IDF bigram + Basic Clean + stopw_curated + with ids + GS LR ovr - Test,precision,0.6285714285714286,0.5333333333333333,0.5185185185185185,0.5714285714285714,0.8888888888888888,0.6281481481481481,0.6068965517241379,0.3931034482758621
23,TF-IDF bigram + Basic Clean + stopw_curated + with ids + GS LR ovr - Train,precision,0.8783783783783784,1.0,1.0,0.9420289855072463,1.0,0.964081472777125,0.9613095238095238,0.03869047619047619
24,TF-IDF + Basic Clean + GS LR ovr - Test,recall,0.6363636363636364,0.7727272727272727,0.48148148148148145,0.5294117647058824,0.6551724137931034,0.6150313138142753,0.6068965517241379,0.3931034482758621
25,TF-IDF + Basic Clean + GS LR ovr - Train,recall,0.9552238805970149,0.9078947368421053,0.8055555555555556,0.9393939393939394,1.0,0.921613622477723,0.9166666666666666,0.08333333333333333
26,TF-IDF + Basic Clean + Remove ids + GS LR ovr - Test,recall,0.59375,0.5833333333333334,0.84375,0.5151515151515151,0.6666666666666666,0.640530303030303,0.6413793103448275,0.3586206896551724
27,TF-IDF + Basic Clean + Remove ids + GS LR ovr - Train,recall,0.9705882352941176,0.9466666666666667,1.0,0.9850746268656716,1.0,0.9804659057652911,0.9792284866468842,0.020771513353115726
28,TF-IDF bigram + Basic Clean + Remove ids + GS LR ovr - Test,recall,0.53125,0.5,0.71875,0.5757575757575758,0.5833333333333334,0.5818181818181818,0.5862068965517241,0.41379310344827586
29,TF-IDF bigram + Basic Clean + Remove ids + GS LR ovr - Train,recall,0.9705882352941176,0.92,1.0,0.9701492537313433,1.0,0.9721474978050921,0.9703264094955489,0.02967359050445104
30,TF-IDF bigram + Basic Clean + stopw + Remove ids + GS LR ovr - Test,recall,0.53125,0.5833333333333334,0.78125,0.5757575757575758,0.5833333333333334,0.6109848484848486,0.6137931034482759,0.38620689655172413
31,TF-IDF bigram + Basic Clean + stopw + Remove ids + GS LR ovr - Train,recall,0.9705882352941176,0.9466666666666667,1.0,1.0,1.0,0.9834509803921568,0.9821958456973294,0.017804154302670624
32,TF-IDF bigram + Basic Clean + stopw_curated + Remove ids + GS LR ovr - Test,recall,0.5625,0.5833333333333334,0.6875,0.5757575757575758,0.5833333333333334,0.5984848484848485,0.6,0.4
33,TF-IDF bigram + Basic Clean + stopw_curated + Remove ids + GS LR ovr - Train,recall,0.9705882352941176,0.9466666666666667,1.0,1.0,1.0,0.9834509803921568,0.9821958456973294,0.017804154302670624
34,TF-IDF bigram + Basic Clean + stopw_curated + with ids + GS LR ovr - Test,recall,0.6666666666666666,0.7272727272727273,0.5185185185185185,0.5882352941176471,0.5517241379310345,0.6104834689013188,0.6068965517241379,0.3931034482758621
35,TF-IDF bigram + Basic Clean + stopw_curated + with ids + GS LR ovr - Train,recall,0.9701492537313433,0.9342105263157895,0.9305555555555556,0.9848484848484849,1.0,0.9639527640902348,0.9613095238095238,0.03869047619047619
36,TF-IDF + Basic Clean + GS LR ovr - Test,support,33.0,22.0,27.0,34.0,29.0,145.0,0.6068965517241379,0.3931034482758621
37,TF-IDF + Basic Clean + GS LR ovr - Train,support,67.0,76.0,72.0,66.0,55.0,336.0,0.9166666666666666,0.08333333333333333
38,TF-IDF + Basic Clean + Remove ids + GS LR ovr - Test,support,32.0,24.0,32.0,33.0,24.0,145.0,0.6413793103448275,0.3586206896551724
39,TF-IDF + Basic Clean + Remove ids + GS LR ovr - Train,support,68.0,75.0,67.0,67.0,60.0,337.0,0.9792284866468842,0.020771513353115726
40,TF-IDF bigram + Basic Clean + Remove ids + GS LR ovr - Test,support,32.0,24.0,32.0,33.0,24.0,145.0,0.5862068965517241,0.41379310344827586
41,TF-IDF bigram + Basic Clean + Remove ids + GS LR ovr - Train,support,68.0,75.0,67.0,67.0,60.0,337.0,0.9703264094955489,0.02967359050445104
42,TF-IDF bigram + Basic Clean + stopw + Remove ids + GS LR ovr - Test,support,32.0,24.0,32.0,33.0,24.0,145.0,0.6137931034482759,0.38620689655172413
43,TF-IDF bigram + Basic Clean + stopw + Remove ids + GS LR ovr - Train,support,68.0,75.0,67.0,67.0,60.0,337.0,0.9821958456973294,0.017804154302670624
44,TF-IDF bigram + Basic Clean + stopw_curated + Remove ids + GS LR ovr - Test,support,32.0,24.0,32.0,33.0,24.0,145.0,0.6,0.4
