,model_name,index,DN,GOF,HI,LOF,none,macro avg,accuracy,hamming_loss
0,TF-IDF + Basic Clean + Focused Text + GS LR ovr - Test,f1-score,0.71875,0.830188679245283,0.5660377358490567,0.5964912280701755,0.7213114754098361,0.6865558237148702,0.6875,0.3125
1,TF-IDF + Basic Clean + Focused Text + GS LR ovr - Train,f1-score,0.9315068493150686,0.9635036496350365,0.9705882352941176,0.9624060150375939,1.0,0.9656009498563634,0.9641791044776119,0.03582089552238806
2,TF-IDF bigram + Basic Clean + focused text + stopw_curated + without ids + GS LR ovr - Test,f1-score,0.8064516129032259,0.830188679245283,0.7368421052631579,0.7017543859649122,0.847457627118644,0.7845388820990447,0.7847222222222222,0.2152777777777778
3,TF-IDF bigram + Basic Clean + focused text + stopw_curated + without ids + GS LR ovr - Train,f1-score,0.9664429530201343,0.9852941176470589,0.9923664122137404,0.9859154929577464,1.0,0.986003795167736,0.9851190476190477,0.01488095238095238
4,TF-IDF + Basic Clean + Focused Text + GS LR ovr - Test,precision,0.6571428571428571,0.88,0.6818181818181818,0.6538461538461539,0.6111111111111112,0.6967836607836608,0.6875,0.3125
5,TF-IDF + Basic Clean + Focused Text + GS LR ovr - Train,precision,0.9066666666666666,0.9565217391304348,0.9705882352941176,1.0,1.0,0.966755328218244,0.9641791044776119,0.03582089552238806
6,TF-IDF bigram + Basic Clean + focused text + stopw_curated + without ids + GS LR ovr - Test,precision,0.7142857142857143,0.9166666666666666,0.875,0.6896551724137931,0.78125,0.7953715106732349,0.7847222222222222,0.2152777777777778
7,TF-IDF bigram + Basic Clean + focused text + stopw_curated + without ids + GS LR ovr - Train,precision,0.9473684210526315,0.9852941176470589,1.0,1.0,1.0,0.986532507739938,0.9851190476190477,0.01488095238095238
8,TF-IDF + Basic Clean + Focused Text + GS LR ovr - Test,recall,0.7931034482758621,0.7857142857142857,0.4838709677419355,0.5483870967741935,0.88,0.6982151597012554,0.6875,0.3125
9,TF-IDF + Basic Clean + Focused Text + GS LR ovr - Train,recall,0.9577464788732394,0.9705882352941176,0.9705882352941176,0.927536231884058,1.0,0.9652918362691064,0.9641791044776119,0.03582089552238806
10,TF-IDF bigram + Basic Clean + focused text + stopw_curated + without ids + GS LR ovr - Test,recall,0.9259259259259259,0.7586206896551724,0.6363636363636364,0.7142857142857143,0.9259259259259259,0.792224378431275,0.7847222222222222,0.2152777777777778
11,TF-IDF bigram + Basic Clean + focused text + stopw_curated + without ids + GS LR ovr - Train,recall,0.9863013698630136,0.9852941176470589,0.9848484848484849,0.9722222222222222,1.0,0.9857332389161559,0.9851190476190477,0.01488095238095238
12,TF-IDF + Basic Clean + Focused Text + GS LR ovr - Test,support,29.0,28.0,31.0,31.0,25.0,144.0,0.6875,0.3125
13,TF-IDF + Basic Clean + Focused Text + GS LR ovr - Train,support,71.0,68.0,68.0,69.0,59.0,335.0,0.9641791044776119,0.03582089552238806
14,TF-IDF bigram + Basic Clean + focused text + stopw_curated + without ids + GS LR ovr - Test,support,27.0,29.0,33.0,28.0,27.0,144.0,0.7847222222222222,0.2152777777777778
15,TF-IDF bigram + Basic Clean + focused text + stopw_curated + without ids + GS LR ovr - Train,support,73.0,68.0,66.0,72.0,57.0,336.0,0.9851190476190477,0.01488095238095238
